id,close,high,low,open,vp,vwap,previous,volume,DATE
60f7c017b6c609ad7cd0e28f,19.9,19.95,19.9,19.95,0,19.9,19.8,12200,2021-07-21
60f5322eb6c609ad7cce4990,19.8,20.25,19.05,20.25,0,19.8,20.25,34500,2021-07-19
60f12897b6c609ad7cca84dc,20.25,20.25,20.25,20.25,0,20.25,22.5,26500,2021-07-16
60efd717b6c609ad7cc90581,22.5,22.75,22.5,22.75,0,22.5,24.95,7300,2021-07-15
60ee8597b6c609ad7cc798d9,24.95,26,24,26,0,24.95,26,2600,2021-07-14
60ed3417b6c609ad7cc6318b,26,26,26,26,0,26,26,900,2021-07-13
60ebe297b6c609ad7cc4ab07,26,26,26,26,0,26,26.3,1400,2021-07-12
60e7ee16b6c609ad7cc0cc2f,26.3,26.3,26.3,26.3,0,26.3,29.2,300,2021-07-09
60e69c96b6c609ad7cbf4397,29.2,29.2,29.2,29.2,0,29.2,30.5,1100,2021-07-08
60e54b17b6c609ad7cbdca88,30.5,32,30,32,0,30.5,32.35,400,2021-07-07
60e3f996b6c609ad7cbc1363,32.35,33,32,33,0,32.35,33,700,2021-07-06
60e2a817b6c609ad7cba553d,33,33,32.5,32.5,0,33,35.9,11400,2021-07-05
60deb397b6c609ad7cb6a835,35.9,35.9,35.9,35.9,0,35.9,36,300,2021-07-02
60dd6216b6c609ad7cb5342c,36,36,36,36,0,36,36.3,1200,2021-07-01
60dc1097b6c609ad7cb3b323,36.3,36.3,36.3,36.3,0,36.3,36.3,100,2021-06-30
60dabf16b6c609ad7cb1bf54,36.3,37,35.9,36,0,36.3,36,2500,2021-06-29
60d96d97b6c609ad7cafbe81,36,36,36,36,0,36,40,800,2021-06-28
60d57917b6c609ad7cab6705,40,0,0,0,0,40,40,0,2021-06-25
60d42796b6c609ad7ca9a331,40,0,0,0,0,40,40,0,2021-06-24
60d2d617b6c609ad7ca83ba8,40,40,40,40,0,40,40,500,2021-06-23
60d18496b6c609ad7ca6dd52,40,40,40,40,0,40,38.2,600,2021-06-22
60d03317b6c609ad7ca57a1f,38.2,0,0,0,0,38.2,38.2,0,2021-06-21
60cc3e97b6c609ad7ca1e37b,38.2,38.2,38.2,38.2,0,38.2,39.95,200,2021-06-18
60caed17b6c609ad7ca06728,39.95,0,0,0,0,39.95,39.95,0,2021-06-17
60c99b97b6c609ad7c9eda82,39.95,42.4,38.6,42.4,0,39.95,42.4,300,2021-06-16
60c84a17b6c609ad7c9d6c74,42.4,0,0,0,0,42.4,42.4,0,2021-06-15
60c6f896b6c609ad7c9befdc,42.4,42.4,42.4,42.4,0,42.4,38.6,100,2021-06-14
60c30416b6c609ad7c978848,38.6,38.6,38.6,38.6,0,38.6,38.6,4100,2021-06-11
60c1b297b6c609ad7c962e79,38.6,38.6,38.6,38.6,0,38.6,38.6,700,2021-06-10
60c06116b6c609ad7c9455ab,38.6,38.6,38.2,38.2,0,38.6,38.5,1800,2021-06-09
60bf0f97b6c609ad7c929905,38.5,38.5,38.5,38.5,0,38.5,38.6,800,2021-06-08
60bdbe17b6c609ad7c90e585,38.6,38.6,38.6,38.6,0,38.6,38.6,300,2021-06-07
60b9c997b6c609ad7c8c7af3,38.6,38.6,38.6,38.6,0,38.6,38.6,200,2021-06-04
60b87817b6c609ad7c8aff4a,38.6,38.6,38.6,38.6,0,38.6,42.8,1200,2021-06-03
60b72696b6c609ad7c897e38,42.8,42.8,42.8,42.8,0,42.8,42.8,100,2021-06-02
60b48397b6c609ad7c86bea7,42.8,42.8,42.8,42.8,0,42.8,39,200,2021-05-31
60b08f17b6c609ad7c82b894,39,39,39,39,0,39,39.35,100,2021-05-28
60af3d97b6c609ad7c810d45,39.35,40,36,40,0,39.35,40,600,2021-05-27
60adec18b6c609ad7c7f6f86,40,40,40,40,0,40,40,1300,2021-05-26
60ac9a97b6c609ad7c7d519b,40,40,40,40,0,40,38.1,500,2021-05-25
60ab4917b6c609ad7c7b6819,38.1,40,38,38,0,38.1,39,2600,2021-05-24
60a75497b6c609ad7c77c9f8,39,39,39,39,0,39,38.5,100,2021-05-21
60a60317b6c609ad7c76672f,38.5,0,0,0,0,38.5,38.5,0,2021-05-20
60a4b197b6c609ad7c74e82d,38.5,39,38,38,0,38.5,40,200,2021-05-19
60a36017b6c609ad7c737983,40,40,40,40,0,40,40,1100,2021-05-18
60a20e97b6c609ad7c721c8a,40,40,40,40,0,40,39.2,100,2021-05-17
609cc897b6c609ad7c6d44d5,39.2,39.2,39.2,39.2,0,39.2,39.2,600,2021-05-13
609b7716b6c609ad7c6bbcbc,39.2,0,0,0,0,39.2,39.2,0,2021-05-12
609a2597b6c609ad7c6a1b62,39.2,0,0,0,0,39.2,39.2,0,2021-05-11
6098d416b6c609ad7c68b7b5,39.2,39.55,39,39,0,39.2,36,1200,2021-05-10
6094df97b6c609ad7c65312c,36,0,0,0,0,36,36,0,2021-05-07
6093870eb6c609ad7c63a75f,36,36,36,36,0,36,36,200,2021-05-06
6092358fb6c609ad7c622a1d,36,0,0,0,0,36,36,0,2021-05-05
6090e40fb6c609ad7c60b53b,36,36,36,36,0,36,36,2800,2021-05-04
608f928eb6c609ad7c5f36ee,36,36,36,36,0,36,36,1400,2021-05-03
608b9e0eb6c609ad7c5b785a,36,36,36,36,0,36,38.1,1000,2021-04-30
608a4c8eb6c609ad7c59fb67,38.1,0,0,0,0,38.1,38.1,0,2021-04-29
6088fb0fb6c609ad7c586a3b,38.1,0,0,0,0,38.1,38.1,0,2021-04-28
6087a98fb6c609ad7c56d4db,38.1,38.1,38.1,38.1,0,38.1,38.1,1400,2021-04-27
608656e3b6c609ad7c552f3d,38.1,38.1,38.1,38.1,0,38.1,38.1,100,2021-04-26
6082638fb6c609ad7c512644,38.1,0,0,0,0,38.1,38.1,0,2021-04-23
608110e3b6c609ad7c4f8dd8,38,39,38,39,0,38,40.5,2400,2021-04-22
