id,close,high,low,open,vp,vwap,previous,volume,DATE
60f7c017b6c609ad7cd0e2a0,48.5,48.6,48.4,48.6,0,48.5,48.55,1460600,2021-07-21
60f5322eb6c609ad7cce499e,48.55,48.6,48.25,48.55,0,48.55,48.55,1476900,2021-07-19
60f12897b6c609ad7cca84ec,48.55,48.6,48.5,48.5,0,48.55,48.55,1411200,2021-07-16
60efd717b6c609ad7cc90593,48.55,48.85,47.7,47.7,0,48.55,48.1,102700,2021-07-15
60ee8597b6c609ad7cc798ea,48.1,48.45,48,48,0,48.1,48,2559200,2021-07-14
60ed3417b6c609ad7cc6319a,48,48.5,47.7,48.5,0,48,48.65,285200,2021-07-13
60ebe297b6c609ad7cc4ab16,48.65,49.4,47.7,49,0,48.65,49,185800,2021-07-12
60e7ee16b6c609ad7cc0cc40,49,49.4,48.5,49,0,49,49,3436300,2021-07-09
60e69c96b6c609ad7cbf43ab,49,49.45,47.6,47.6,0,49,47.55,1891000,2021-07-08
60e54b17b6c609ad7cbdca97,47.55,48,46.55,46.8,0,47.55,46.8,2101700,2021-07-07
60e3f996b6c609ad7cbc1371,46.8,47,46.5,46.5,0,46.8,46.5,511700,2021-07-06
60e2a817b6c609ad7cba554c,46.5,46.9,46.15,46.8,0,46.5,46.7,842000,2021-07-05
60deb397b6c609ad7cb6a844,46.7,47,44.6,45,0,46.7,44.85,958500,2021-07-02
60dd6216b6c609ad7cb5343e,44.85,45.3,44.55,44.95,0,44.85,44.75,104500,2021-07-01
60dc1097b6c609ad7cb3b334,44.75,45.25,44,45.25,0,44.75,46.3,1321800,2021-06-30
60dabf16b6c609ad7cb1bf66,46.3,46.75,44.5,46.7,0,46.3,46.65,1547300,2021-06-29
60d96d97b6c609ad7cafbe97,46.65,46.95,46.05,46.15,0,46.65,46.6,4158000,2021-06-28
60d57917b6c609ad7cab6717,46.6,47,45.55,45.55,0,46.6,45.7,3492600,2021-06-25
60d42796b6c609ad7ca9a341,45.7,45.95,45.55,45.55,0,45.7,45.55,726100,2021-06-24
60d2d617b6c609ad7ca83bba,45.55,45.7,45.4,45.7,0,45.55,45.55,448300,2021-06-23
60d18496b6c609ad7ca6dd64,45.55,45.65,45.15,45.5,0,45.55,45.15,5975800,2021-06-22
60d03317b6c609ad7ca57a30,45.15,45.5,43.75,44.75,0,45.15,44.75,991700,2021-06-21
60cc3e97b6c609ad7ca1e395,44.75,45.2,44.4,44.45,0,44.75,44.35,2226300,2021-06-18
